Warrants Actions;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
ACCOR  34,56 €;;;;;;;;;;
Call;34,02 €;19 mars 10;2,80 € (c);2,88 € (c);4,86/1;94,6 %;3,26;6121S;FR0010731893;08/02/2010 17:29:28
Call;38,88 €;19 mars 10;0,97 € (c);0,98 € (c);9,72/1;86,5 %;4,34;9971S;FR0010723692;08/02/2010 17:28:19
Call;48,60 €;19 mars 10;0,62 € (s);0,63 € (s);4,86/1;--;--;6498S;FR0010759746;08/02/2010 16:50:28
Call;53,45 €;19 mars 10;0,10 € (c);0,11 € (c);9,72/1;24,5 %;11,40;9611S;FR0010694448;08/02/2010 17:28:27
Call;58,31 €;19 mars 10;0,02 € (c);0,04 € (c);9,72/1;6 %;9,55;9612S;FR0010694455;08/02/2010 15:59:32
Call;60 €;19 mars 10;0,04 € (c);0,06 € (c);5/1;5 %;9,41;0784S;FR0010837781;08/02/2010 16:54:33
Call;63,17 €;19 mars 10;0,01 € (c);0,03 € (c);9,72/1;2,7 %;6,65;0085S;FR0010796706;08/02/2010 09:05:18
Call;65 €;19 mars 10;0,01 € (c);0,03 € (c);5/1;1,6 %;7,75;0651S;FR0010836452;08/02/2010 09:05:18
Call;68,03 €;19 mars 10;0,01 € (c);0,03 € (c);9,72/1;0,3 %;0,74;9431S;FR0010679472;08/02/2010 09:05:18
Call;72,89 €;19 mars 10;0,01 € (c);0,03 € (c);9,72/1;0,1 %;0,25;8725S;FR0010643098;08/02/2010 09:05:18
Call;55 €;18 juin 10;0,21 € (c);0,22 € (c);10/1;27,6 %;6,12;0940S;FR0010852806;08/02/2010 17:28:27
Call;58,31 €;18 juin 10;0,15 € (c);0,16 € (c);9,72/1;18,6 %;5,84;6434S;FR0010759068;08/02/2010 16:55:44
Call;63,17 €;18 juin 10;0,06 € (c);0,07 € (c);9,72/1;10 %;7,52;0086S;FR0010796714;08/02/2010 17:26:22
Call;68,03 €;18 juin 10;0,02 € (c);0,04 € (c);9,72/1;4,1 %;6,51;0087S;FR0010796722;08/02/2010 16:04:44
Call;60 €;17 sept. 10;0,21 € (c);0,22 € (c);10/1;23,2 %;5,14;0941S;FR0010852814;08/02/2010 17:29:17
Call;63,17 €;17 sept. 10;0,16 € (c);0,17 € (c);9,72/1;17,3 %;5,13;0088S;FR0010796730;08/02/2010 17:18:31
Call;68,03 €;17 sept. 10;0,08 € (c);0,09 € (c);9,72/1;9,4 %;5,34;0089S;FR0010796748;08/02/2010 16:04:44
Call;72,89 €;17 sept. 10;0,03 € (c);0,05 € (c);9,72/1;5,4 %;6,53;0090S;FR0010796755;08/02/2010 16:48:47
Call;38,88 €;17 déc. 10;2,44 € (s);2,51 € (s);4,86/1;--;--;6123S;FR0010731919;08/02/2010 16:55:42
